Container,CPU Usage,Memory Usage;
python,0.01%,26.29MiB / 3.706GiB;
python,0.02%,26.29MiB / 3.706GiB;
python,27.16%,42.91MiB / 3.706GiB;
python,0.02%,51.14MiB / 3.706GiB;
python,26.77%,62.53MiB / 3.706GiB;
python,0.03%,71.04MiB / 3.706GiB;
python,0.34%,82.41MiB / 3.706GiB;
python,22.42%,92.94MiB / 3.706GiB;
python,0.02%,102.3MiB / 3.706GiB;
python,27.69%,113.7MiB / 3.706GiB;
python,27.50%,125.5MiB / 3.706GiB;
python,0.02%,133.6MiB / 3.706GiB;
python,26.69%,144.9MiB / 3.706GiB;
python,21.62%,39.87MiB / 3.706GiB;
python,0.02%,46.02MiB / 3.706GiB;
python,27.13%,57.36MiB / 3.706GiB;
python,0.01%,65.86MiB / 3.706GiB;
python,0.02%,77.21MiB / 3.706GiB;
python,27.60%,88.55MiB / 3.706GiB;
python,0.02%,97.05MiB / 3.706GiB;
python,25.66%,108.4MiB / 3.706GiB;
python,0.02%,116.9MiB / 3.706GiB;
python,0.02%,128.3MiB / 3.706GiB;
python,28.44%,138.9MiB / 3.706GiB;
python,0.02%,148.1MiB / 3.706GiB;
python,27.01%,160MiB / 3.706GiB;
python,0.02%,57.86MiB / 3.706GiB;
python,25.28%,59.24MiB / 3.706GiB;
python,0.93%,59.57MiB / 3.706GiB;
python,0.01%,63.31MiB / 3.706GiB;
python,0.01%,63.31MiB / 3.706GiB;
python,0.01%,63.31MiB / 3.706GiB;
python,0.01%,63.31MiB / 3.706GiB;
python,0.01%,63.31MiB / 3.706GiB;
python,0.01%,63.31MiB / 3.706GiB;
python,0.01%,63.31MiB / 3.706GiB;
python,0.03%,63.31MiB / 3.706GiB;
