Factorial Recursive Times (ns);
36203;
37611;
28055;
28148;
27833;
30240;
30111;
28907;
30574;
28426;
29167;
28722;
29574;
28962;
27685;
55018;
28648;
29166;
27907;
28111;
30296;
27278;
28759;
51129;
28426;
27888;
28518;
29129;
27981;
28666;
30500;
53129;
29500;
30074;
28611;
29222;
29851;
30129;
28462;
27796;
89962;
28666;
34481;
28074;
27518;
28463;
29759;
45610;
29481;
27870;
29036;
27629;
29832;
27981;
28128;
29703;
29517;
28351;
51628;
28592;
28648;
28684;
28240;
28462;
27888;
26944;
28036;
28537;
28388;
29740;
27814;
29055;
26740;
28351;
27184;
28333;
28739;
27369;
33962;
28240;
29314;
49054;
28573;
29944;
28592;
29370;
29832;
29888;
29425;
28388;
27833;
26611;
28277;
29277;
28444;
28185;
28869;
27944;
28851;
27870;
