Read File Times (ns);
108999;
95814;
174276;
97202;
98221;
96795;
96924;
98850;
97906;
99517;
98758;
96091;
96351;
99888;
99166;
101814;
107906;
102443;
101036;
101647;
119221;
182757;
98165;
97018;
98054;
120536;
98554;
101814;
97980;
95573;
102758;
101777;
101665;
95128;
101925;
100481;
99758;
98221;
103017;
104462;
119591;
102332;
100832;
104758;
130017;
95999;
97739;
98795;
99536;
97369;
95886;
101942;
194605;
98052;
98219;
96627;
99126;
96738;
107034;
97330;
152959;
96886;
96238;
116793;
100701;
101941;
99942;
101256;
105534;
95404;
171106;
97590;
102330;
100720;
95313;
101830;
96720;
231642;
97109;
179440;
221012;
101034;
106941;
97441;
182513;
173644;
106294;
98664;
97294;
101294;
97534;
106108;
103331;
96608;
98053;
100442;
97350;
103405;
114831;
100942;
