Factorial Iterative Times (ns);
901815;
803259;
800130;
791518;
806686;
797056;
810685;
834851;
797648;
799426;
858555;
790093;
1256426;
793723;
808407;
805389;
860537;
1314018;
827537;
803852;
834685;
801907;
795166;
797055;
797833;
807685;
793185;
804093;
795630;
806574;
793389;
801166;
792500;
851815;
797945;
842703;
803648;
806611;
797666;
798260;
783148;
813481;
1731444;
798611;
796408;
799037;
796537;
822111;
799667;
801778;
846741;
800241;
790000;
857815;
795759;
802833;
793037;
835759;
803093;
795000;
970870;
845129;
816204;
860296;
831130;
865667;
793963;
796833;
797408;
802648;
856426;
798981;
798426;
798037;
835593;
788963;
794260;
791000;
782352;
1623093;
854648;
837000;
799574;
791241;
802667;
795963;
784962;
1239037;
855278;
843537;
817426;
786777;
795963;
952352;
791000;
833519;
801537;
799277;
837908;
792815;
